track_id,frame,timestamp,plate_text,plate_confidence,ocr_confidence
1,0,0.0,,0.801337480545044,0.0
1,1,0.041666666666666664,,0.7950937747955322,0.0
1,2,0.08333333333333333,,0.7771294713020325,0.0
1,3,0.125,,0.7871585488319397,0.0
1,4,0.16666666666666666,,0.7883922457695007,0.0
1,5,0.20833333333333334,,0.7745934128761292,0.0
1,6,0.25,,0.7550670504570007,0.0
1,7,0.2916666666666667,,0.7572849988937378,0.0
1,8,0.3333333333333333,,0.7833178639411926,0.0
1,9,0.375,ULOI {,0.7758134007453918,0.08474024338701107
1,10,0.4166666666666667,,0.7840660214424133,0.0
1,11,0.4583333333333333,567,0.773607075214386,0.07781390103597699
1,12,0.5,DJ7,0.7864379286766052,0.09076709888511537
1,13,0.5416666666666666,4om,0.7979329228401184,0.03566009990166083
1,14,0.5833333333333334,[I7,0.7936797738075256,0.05985236066568636
1,15,0.625,mul],0.8011884093284607,0.27187952399253845
1,16,0.6666666666666666,@ior,0.7803795337677002,0.057338982820510864
1,17,0.7083333333333334,moa,0.7688641548156738,0.1290321628895684
1,18,0.75,Lo m,0.772579550743103,0.12493246048688889
1,19,0.7916666666666666,e,0.7910184264183044,0.19278363058685333
1,20,0.8333333333333334,HOT,0.8022782802581787,0.19590037099329927
1,21,0.875,1 Dncn,0.79307621717453,0.012672460080147304
1,22,0.9166666666666666,mlE,0.7907679677009583,0.02865422319192515
1,23,0.9583333333333334,DTa,0.7869930267333984,0.14564716683699583
1,24,1.0,HHDO,0.7990537285804749,0.11822141706943512
1,25,1.0416666666666667,Mo],0.7831082940101624,0.20873846759950895
1,26,1.0833333333333333,DTT7,0.7830732464790344,0.05799972711407729
1,27,1.125,HUO,0.7776760458946228,0.042709999060536165
1,28,1.1666666666666667,Muo;N,0.7933053970336914,0.07502594060698434
1,29,1.2083333333333333,mA,0.7713147401809692,0.5114686043714355
1,30,1.25,LELO,0.7905843257904053,0.24326443672180176
1,31,1.2916666666666667,m,0.7848376035690308,0.6553470557158825
1,32,1.3333333333333333,d,0.7847159504890442,0.4906493286288338
1,33,1.375,mOd,0.7836704850196838,0.11607602495555051
1,34,1.4166666666666667,Ide,0.7835735082626343,0.02620694575339948
1,35,1.4583333333333333,Mnn,0.7791178226470947,0.05779623294714337
1,36,1.5,HLWOnN,0.7837572693824768,0.12722429611670483
1,37,1.5416666666666667,Ihld,0.7863653898239136,0.2577979862689972
1,38,1.5833333333333333,HAMn,0.7914659380912781,0.002630770206451416
1,39,1.625,DJAA,0.7862619161605835,0.08395712077617645
1,40,1.6666666666666667,DIOU,0.7824151515960693,0.054403405636548996
1,41,1.7083333333333333,MuOLA,0.7887970209121704,0.03491010258848098
1,42,1.75,Mullod,0.8061560988426208,0.0923513232068818
1,43,1.7916666666666667,4huul,0.7873457074165344,0.012485431993911677
